rel_day,company_name,post_date,post_id,Treated_Company_Flag,log_react_c,comment_len_c,pre_event,pi_cat,stance,policy,pro_dei_rollback
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,2.905483934773054,-52.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,70.80532365396249,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,-86.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.2960460223389532,-64.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-75.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.7015111304471178,-14.194676346037511,1,1,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.1625146297144306,-77.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-36.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-71.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.0083639498871724,-28.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,0.3152167693272272,-32.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,2.3946583110070634,73.80532365396249,1,2,Pro_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.7015111304471178,4.805323653962489,1,0,Anti_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,0.602898841779008,-63.19467634603751,1,0,Anti_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.0083639498871724,99.80532365396249,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,18.80532365396249,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,210.8053236539625,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-44.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.1625146297144306,38.80532365396249,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-48.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,0.602898841779008,-74.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,0.602898841779008,-21.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-10.194676346037511,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,-32.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,-50.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,-61.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,11.805323653962489,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,-74.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,72.80532365396249,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,2.0498178247153334,-76.19467634603751,1,0,Anti_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.413829057995337,-81.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,74.80532365396249,1,0,Anti_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-87.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-85.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.1625146297144306,125.80532365396249,1,1,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,1.413829057995337,-48.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,0.8260423930932177,-26.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.7833955193408826,-17.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,-0.0902483387809373,-58.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
-14,Costco,2025-01-09 09:00:00,Costco_2025-01-09,0,0.3152167693272272,-69.19467634603751,1,0,Neutral_DEI,Maintained_DEI,0
