stance_category,Boycott,Neutral-PI,Buy
Anti-DEI,0.34648230988206585,0.6417242781618544,0.011793411956079707
Neutral-DEI,0.026565026565026566,0.9551859551859552,0.01824901824901825
Pro-DEI,0.17564148897723167,0.5352367184676545,0.28912179255511383
