stance_category,Boycott,Neutral-PI,Buy
Anti-DEI,0.24285714285714285,0.7571428571428571,0.0
Neutral-DEI,0.026611226611226613,0.9492723492723493,0.024116424116424118
Pro-DEI,0.07272727272727272,0.6545454545454545,0.2727272727272727
