company_name,before_DEI,comment_date,Boycott,Buy,Neutral-PI
Costco,0,2025-01-26,0.07979626485568761,0.0933786078098472,0.8268251273344652
Costco,0,2025-02-02,0.12184700206753962,0.14555478980013783,0.7325982081323226
Costco,0,2025-02-09,0.04534746760895171,0.06919905771495878,0.8854534746760895
Costco,0,2025-02-16,0.03827751196172249,0.04442925495557074,0.9172932330827067
Costco,0,2025-02-23,0.016414141414141416,0.017045454545454544,0.9665404040404041
Costco,0,2025-03-02,0.02158273381294964,0.039568345323741004,0.9388489208633094
Costco,0,2025-03-09,0.022222222222222223,0.06666666666666667,0.9111111111111111
Costco,0,2025-03-16,0.038461538461538464,0.0,0.9615384615384616
Costco,0,2025-03-23,0.0,0.0,1.0
Costco,0,2025-03-30,0.0,0.3333333333333333,0.6666666666666666
Costco,0,2025-04-06,0.3333333333333333,0.0,0.6666666666666666
Costco,0,2025-04-13,0.0,0.0,1.0
Costco,0,2025-04-20,0.0,0.0,1.0
Costco,1,2025-01-12,0.05,0.025,0.925
Costco,1,2025-01-19,0.02857142857142857,0.025714285714285714,0.9457142857142857
Costco,1,2025-01-26,0.027225130890052355,0.024083769633507852,0.9486910994764398
Delta,0,2025-02-09,0.07303370786516854,0.011235955056179775,0.9157303370786517
Delta,0,2025-02-16,0.036684782608695655,0.029891304347826088,0.9334239130434783
Delta,0,2025-02-23,0.026470588235294117,0.030392156862745098,0.9431372549019608
Delta,0,2025-03-02,0.03134796238244514,0.006269592476489028,0.9623824451410659
Delta,0,2025-03-09,0.06557377049180328,0.03278688524590164,0.9016393442622951
Delta,0,2025-03-16,0.017857142857142856,0.0,0.9821428571428571
Delta,0,2025-03-23,0.05555555555555555,0.027777777777777776,0.9166666666666666
Delta,0,2025-03-30,0.0,0.0,1.0
Delta,0,2025-04-06,0.08,0.0,0.92
Delta,0,2025-04-13,0.3333333333333333,0.0,0.6666666666666666
Delta,1,2025-01-12,0.0,0.0,1.0
Delta,1,2025-01-19,0.0,0.5,0.5
Delta,1,2025-01-26,0.039603960396039604,0.0,0.9603960396039604
Delta,1,2025-02-02,0.06930693069306931,0.0,0.9306930693069307
Delta,1,2025-02-09,0.11904761904761904,0.0,0.8809523809523809
Google,0,2025-01-19,0.0,0.0,1.0
Google,0,2025-02-09,0.017094017094017096,0.0,0.9829059829059829
Google,0,2025-02-16,0.1491101491101491,0.001924001924001924,0.8489658489658489
Google,0,2025-02-23,0.07972972972972973,0.0013513513513513514,0.918918918918919
Google,0,2025-03-02,0.025889967637540454,0.0,0.9741100323624595
Google,0,2025-03-09,0.009345794392523364,0.0016992353440951572,0.9889549702633815
Google,0,2025-03-16,0.02654867256637168,0.004424778761061947,0.9690265486725663
Google,0,2025-03-23,0.0,0.011363636363636364,0.9886363636363636
Google,0,2025-03-30,0.0,0.0,1.0
Google,0,2025-04-06,0.3,0.0,0.7
Google,0,2025-04-13,0.0,0.0,1.0
Google,0,2025-04-20,0.0,0.0,1.0
Google,1,2025-01-26,0.0053475935828877,0.0,0.9946524064171123
Google,1,2025-02-02,0.09505703422053231,0.0038022813688212928,0.9011406844106464
Google,1,2025-02-09,0.012681159420289856,0.0,0.9873188405797102
Target,0,2025-01-26,0.16083916083916083,0.006993006993006993,0.8321678321678322
Target,0,2025-02-02,0.19825072886297376,0.06608357628765792,0.7356656948493683
Target,0,2025-02-09,0.2929460580912863,0.023236514522821577,0.6838174273858921
Target,0,2025-02-16,0.2694805194805195,0.06818181818181818,0.6623376623376623
Target,0,2025-02-23,0.20588235294117646,0.04341736694677871,0.7507002801120448
Target,0,2025-03-02,0.3070539419087137,0.08437067773167359,0.6085753803596127
Target,0,2025-03-09,0.1625,0.1,0.7375
Target,0,2025-03-16,0.15151515151515152,0.030303030303030304,0.8181818181818182
Target,0,2025-03-23,0.0,0.0,1.0
Target,0,2025-03-30,0.0,0.0,1.0
Target,0,2025-04-06,0.025,0.0,0.975
Target,0,2025-04-20,0.0,0.0,1.0
Target,1,2025-01-19,0.0,0.040983606557377046,0.9590163934426229
Target,1,2025-01-26,0.016129032258064516,0.016129032258064516,0.967741935483871
