stance_category,Boycott,Neutral-PI,Buy
Anti-DEI,0.3679034421099687,0.6236030397854269,0.008493518104604381
Neutral-DEI,0.03231756214915798,0.9201283079390538,0.04755412991178829
Pro-DEI,0.020202020202020204,0.5665349143610013,0.4132630654369785
