stance_category,Boycott,Neutral-PI,Buy
Anti-DEI,0.36604870956015995,0.6201381315885133,0.013813158851326791
Neutral-DEI,0.055580110497237566,0.9113443830570902,0.03307550644567219
Pro-DEI,0.16334283000949668,0.5188350743906299,0.3178220955998734
