stance_category,Boycott,Neutral-PI,Buy
Anti-DEI,0.4666666666666667,0.44761904761904764,0.08571428571428572
Neutral-DEI,0.16576576576576577,0.7879021879021879,0.04633204633204633
Pro-DEI,0.5695652173913044,0.36086956521739133,0.06956521739130435
