stance_category,Boycott,Neutral-PI,Buy
Anti-DEI,0.3723404255319149,0.6170212765957447,0.010638297872340425
Neutral-DEI,0.055806182121971595,0.9426900584795321,0.0015037593984962407
Pro-DEI,0.5328467153284672,0.46715328467153283,0.0
